area_type,availability,location,total_sqft,bath,balcony,price,bhk,price_per_sqft,high_value,cluster
Super built-up  Area,19-Dec,Electronic City Phase II,1056.0,2.0,1.0,39.07,2,3699.810606060606,0,2
Built-up  Area,Ready To Move,Uttarahalli,1440.0,2.0,3.0,62.0,3,4305.555555555556,0,2
Super built-up  Area,Ready To Move,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3,6245.890861275477,0,0
Super built-up  Area,Ready To Move,Kothanur,1200.0,2.0,1.0,51.0,2,4250.0,0,2
Super built-up  Area,18-May,Old Airport Road,2732.0,4.0,2.0,204.0,4,7467.0571010248905,1,0
Super built-up  Area,Ready To Move,Rajaji Nagar,3300.0,4.0,2.0,600.0,4,18181.81818181818,1,1
Plot  Area,Ready To Move,Whitefield,2785.0,5.0,3.0,295.0,4,10592.45960502693,1,3
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2,3800.0,0,2
Built-up  Area,Ready To Move,Gottigere,1100.0,2.0,2.0,40.0,2,3636.3636363636365,0,2
Plot  Area,Ready To Move,Sarjapur,2250.0,3.0,2.0,148.0,3,6577.777777777777,1,0
Super built-up  Area,Ready To Move,Mysore Road,1175.0,2.0,2.0,73.5,2,6255.31914893617,0,0
Super built-up  Area,Ready To Move,Bisuvanahalli,1180.0,3.0,2.0,48.0,3,4067.7966101694915,0,2
Super built-up  Area,Ready To Move,other,2770.0,4.0,2.0,290.0,3,10469.314079422382,1,3
Built-up  Area,Ready To Move,Kengeri,600.0,1.0,1.0,15.0,1,2500.0,0,2
Super built-up  Area,19-Dec,Binny Pete,1755.0,3.0,1.0,122.0,3,6951.5669515669515,1,0
Plot  Area,Ready To Move,Thanisandra,2800.0,5.0,2.0,380.0,4,13571.42857142857,1,1
Super built-up  Area,Ready To Move,Bellandur,1767.0,3.0,1.0,103.0,3,5829.088851160159,1,0
Super built-up  Area,18-Nov,Thanisandra,510.0,1.0,0.0,25.25,1,4950.980392156863,0,2
Built-up  Area,20-Dec,Whitefield,1610.0,3.0,2.0,81.0,3,5031.055900621118,0,2
Super built-up  Area,17-Oct,Ramagondanahalli,1151.0,2.0,2.0,48.77,2,4237.185056472633,0,2
Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,1.0,47.0,3,4585.365853658536,0,2
Super built-up  Area,19-Dec,Yelahanka,2475.0,4.0,0.0,186.0,4,7515.151515151515,1,0
Super built-up  Area,Ready To Move,Hebbal,1760.0,2.0,2.0,123.0,3,6988.636363636364,1,0
Built-up  Area,Ready To Move,Kasturi Nagar,1925.0,3.0,2.0,125.0,3,6493.506493506494,1,0
Super built-up  Area,Ready To Move,Kundalahalli,1724.0,3.0,2.0,125.0,3,7250.580046403712,1,0
Built-up  Area,Ready To Move,Uttarahalli,1143.0,2.0,2.0,45.0,2,3937.0078740157483,0,2
Built-up  Area,Ready To Move,Murugeshpalya,1296.0,2.0,2.0,81.0,2,6250.0,0,0
Super built-up  Area,Ready To Move,other,600.0,1.0,0.0,38.0,1,6333.333333333333,0,0
Plot  Area,Ready To Move,Yelahanka,660.0,1.0,0.0,48.0,1,7272.727272727273,0,0
Super built-up  Area,19-Sep,Kanakpura Road,1330.74,2.0,2.0,91.79,2,6897.665960292769,0,0
